time,motor.m1,motor.m2,motor.m3,motor.m4,
53513,39002,39500,41544,41082,
53613,42132,39572,37188,40920,
53713,36446,42046,41892,38452,
53813,34516,41356,43378,39514,
53913,40180,39610,37602,42220,
54013,39408,41890,39192,40906,
54113,37486,43150,40810,41150,
54213,39912,41844,39520,43464,
54313,39822,42242,39368,42980,
54413,35355,41987,43739,42463,
54513,37384,42692,42432,42204,
54613,41328,42318,38412,41278,
54713,40322,41420,39158,41592,
54813,35774,44346,44306,39754,
54913,38881,42683,40189,42211,
55013,40909,41593,36791,41055,
55113,36621,41693,41841,41369,
55213,35974,42744,43574,40748,
55313,37597,41287,41507,41405,
55413,37532,39984,41068,42288,
55513,37125,44471,42137,38959,
55613,36819,43543,43263,39659,
55713,38575,41683,41057,41477,
55813,42411,40495,36313,41969,
55913,36208,43458,41676,38302,
56013,34620,42370,43050,39580,
56113,39606,41074,39522,42422,
56213,41615,42793,39915,42581,
56313,37673,43571,42967,41617,
56413,37639,43169,43053,41043,
56513,38063,42757,42923,41089,
56613,40371,42181,41029,42307,
56713,39014,42330,41250,41630,
56813,37384,42584,42500,40692,
56913,35137,45755,42937,37663,
57013,39085,42071,39929,41655,
57113,38727,42011,39925,40505,
57213,38287,41513,39817,41583,
57313,39649,39605,39009,43081,
57413,40188,44010,39034,39944,
57513,37508,43422,41998,41028,
57613,35870,44854,44470,40414,
57713,39447,44039,41051,42183,
57813,44737,40461,35147,44019,
57913,38632,41920,40496,42248,
58013,36194,43024,43108,40526,
58113,38273,45585,41303,38775,
58213,40279,44085,39731,41473,
58313,38688,42220,40994,42002,
58413,38043,42739,40603,40727,
58513,37686,42188,39314,39556,
58613,38398,41730,39318,40070,
58713,38928,41982,39176,39342,
58813,38378,43030,40252,39596,
58913,38070,42562,41686,40918,
59013,39890,43420,41002,40124,
59113,38982,43300,41382,39576,
59213,38915,42955,42391,40219,
59313,39778,42956,41806,40464,
59413,41057,44337,40307,38823,
59513,39960,42036,40540,41012,
59613,38444,41768,41120,40612,
59713,41593,42483,37663,39917,
59813,39912,41500,38354,40190,
59913,38711,42023,41363,41563,
60013,38949,42713,40667,40647,
60113,39875,42381,39779,40913,
60213,37694,44922,42766,38658,
60313,37558,43908,43530,40664,
60413,42328,42946,40348,42750,
60513,42235,43047,38979,41431,
60613,35392,44580,43758,37990,
60713,37972,43522,41188,39038,
60813,43645,40277,35213,41269,
60913,37839,43703,40263,36971,
61013,36102,42304,43804,39666,
61113,40633,42301,40809,41109,
61213,41952,43248,39306,39254,
61313,39696,45736,42918,37170,
61413,38356,41798,45530,41536,
61513,39164,41600,43698,40690,
61613,41855,44125,40837,37875,
61713,40103,43007,41551,37451,
61813,37915,42673,44187,38625,
61913,40524,43074,42050,38448,
62013,40488,41942,41002,38624,
62113,39503,42401,43885,38855,
62213,40089,42053,43985,39081,
62313,40729,42073,44325,40205,
62413,42446,41232,41902,41100,
62513,43512,39954,38266,39888,
62613,37708,41378,43634,37320,
62713,38283,39731,43403,39923,
62813,41510,41588,40648,38506,
62913,42075,41737,40477,39211,
63013,39528,41330,42358,38732,
63113,36755,42781,44399,37805,
63213,39517,41689,42659,40179,
63313,40716,42938,42640,40174,
63413,42282,42782,40738,39590,
63513,40853,44219,41943,38077,
63613,39146,44494,43100,37616,
63713,41064,41266,41074,41272,
63813,39570,42780,42254,39656,
63913,38896,44440,41926,37570,
64013,38649,41425,42891,41179,
64113,40600,40360,40584,41912,
64213,39965,43947,40937,37907,
64313,38689,43629,43847,39415,
64413,41416,42866,41534,41420,
64513,40158,43004,40576,40098,
64613,39145,42291,41415,40805,
64713,37773,44267,42569,39867,
64813,38158,43478,40810,40174,
64913,37833,42197,40961,41513,
65013,38810,41794,39996,42688,
65113,39755,44315,39549,41829,
65213,39100,43708,39780,42332,
65313,38140,41634,41092,44934,
65413,38091,42881,40347,42617,
65513,33964,45220,43020,39184,
65613,38415,42117,37737,42263,
65713,39615,41977,36995,43405,
65813,35780,44810,41566,42020,
65913,36574,45414,41350,41750,
66013,39238,41978,38480,43864,
66113,39741,42775,38967,43949,
66213,37493,45439,41355,41701,
66313,38033,43119,39413,42943,
66413,37803,44871,40349,41589,
66513,39561,42881,38597,43213,
66613,37166,43340,40474,43080,
66713,37268,43094,40034,42144,
66813,36781,43781,40129,40997,
66913,37031,42067,39525,42453,
67013,37499,44079,39349,41265,
67113,38530,44876,40802,41860,
67213,39659,43413,39937,42839,
67313,37618,45116,42064,42038,
67413,38489,42941,39761,43141,
67513,38530,42312,39458,43692,
67613,35560,43652,41990,42062,
67713,36065,45135,42203,40613,
67813,41926,42558,36542,44038,
67913,37032,43482,40724,42774,
68013,38152,42202,39358,43924,
68113,32150,49170,46608,38568,
68213,33646,46024,43582,39012,
68313,43426,41560,35064,44438,
68413,33320,46134,45234,39964,
68513,29542,48410,45770,35042,
68613,44076,39178,32732,44802,
68713,37162,42682,40478,41822,
68813,32160,48222,44874,36504,
68913,42126,40452,35424,45230,
69013,37991,42929,39097,42271,
69113,33328,46726,43938,39696,
69213,38693,43921,39291,42419,
69313,40521,44369,37951,41327,
69413,35317,44141,42125,40977,
69513,36736,42304,42124,44092,
69613,38664,42468,39584,44344,
69713,38105,43841,39753,42253,
69813,36682,44350,40382,41486,
69913,37738,42138,39346,44914,
70013,37395,43335,39879,43919,
70113,37221,46365,39789,40149,
70213,36574,43716,41250,43888,
70313,36418,43506,41392,43100,
70413,37915,44715,39957,42317,
70513,38197,46387,39905,41239,
70613,38864,41634,38306,44160,
70713,39479,43529,38595,42377,
70813,37524,46494,41518,41084,
70913,39369,43323,40569,44447,
71013,39029,41525,40567,45103,
71113,37107,45163,42673,41889,
71213,37996,43562,40492,42626,
71313,39098,41984,38804,43166,
71413,37262,43862,40672,41152,
71513,37792,43442,38830,40328,
71613,38449,42825,38823,42303,
71713,36294,43602,41584,42060,
71813,38119,45067,40687,42367,
71913,39043,43375,40541,44341,
72013,38445,44273,39211,41611,
72113,38047,44069,39803,42481,
72213,38078,43544,41206,44040,
72313,38565,43943,41597,43855,
72413,39564,44786,40030,42832,
72513,38113,44833,40447,41907,
72613,37859,42787,39413,42793,
72713,39236,43992,38722,42026,
72813,36136,45754,40588,39934,
72913,36830,43942,40802,42394,
73013,38536,43240,37856,42204,
73113,38443,43635,38727,41399,
73213,37279,43023,40353,43357,
73313,37973,42175,40789,44375,
73413,39770,44430,39210,42690,
73513,38483,43951,40315,43279,
73613,38750,43340,39700,43154,
73713,38510,46766,40772,39628,
73813,37836,44202,41954,42036,
73913,38125,42941,41767,43219,
74013,39076,42672,39918,43586,
74113,37169,44689,41283,41727,
74213,37685,44147,39211,41889,
74313,36904,44746,40296,41970,
74413,39048,44332,37938,42782,
74513,37733,44589,40515,43431,
74613,38852,43734,39334,43524,
74713,37647,46251,40325,40505,
74813,38013,45201,41283,41511,
74913,37229,44211,42977,42507,
75013,36975,44023,42385,41965,
75113,39792,45078,39752,41458,
75213,38474,44180,41098,42064,
75313,36707,43673,42761,42435,
75413,40196,46336,39996,40596,
75513,41383,44447,39293,42017,
75613,40175,43401,40697,42123,
75713,42012,43108,39078,42622,
75813,39012,43744,41970,40606,
75913,36727,41701,42885,41455,
76013,38783,45605,41103,37837,
76113,39111,44367,41005,39769,
76213,39036,42774,41184,41878,
76313,39606,44598,40620,40884,
76413,40187,43865,39519,41385,
76513,40569,45747,39277,39643,
76613,37096,42366,41794,42232,
76713,40818,43144,37904,41434,
76813,41408,45608,38924,39680,
76913,38880,42926,42410,41364,
77013,38793,40437,43357,42577,
77113,40426,42818,43458,38102,
77213,41955,39141,43333,39135,
77313,42454,41124,43072,35682,
77413,40061,41437,47417,35625,
77513,48219,33661,39425,42319,
77613,43083,38405,43625,36291,
77713,37390,40606,49658,33366,
77813,42824,37160,42766,36574,
77913,44312,37356,41372,36636,
78013,44906,39964,41006,33908,
78113,35754,38188,49112,34890,
78213,40327,35821,44211,36345,
78313,46621,37453,39981,35533,
78413,42426,39690,45994,34686,
78513,39768,36782,47970,36928,
78613,42318,37186,45536,36428,
78713,44113,37131,43799,36265,
78813,44472,38812,44852,34932,
78913,48353,35875,41489,38215,
79013,44108,37550,45342,36024,
79113,41595,39321,46733,33415,
79213,42108,36284,45874,36330,
79313,45036,37878,42518,35156,
79413,45912,38212,43114,35958,
79513,41907,38547,46807,36371,
79613,44232,39924,45130,36970,
79713,45992,39682,41378,37004,
