time,motor.m1,motor.m2,motor.m3,motor.m4
123494,38973,60773,37013,37505
123594,43082,56448,35158,43164
123694,47259,62763,45727,51367
123794,49248,63738,43936,46138
123894,47513,60407,53805,53171
123994,40177,57093,51377,46357
124094,43654,48906,42848,41264
124194,45892,49496,46792,42228
124294,38335,51147,53805,42709
124394,39447,59541,35919,49489
124494,32993,51685,43391,44307
124594,43233,43729,45377,42101
124694,43882,46736,50310,40456
124794,38434,38736,42946,32964
124894,51517,36365,50851,24243
124994,40429,47695,45957,30175
125094,42328,41204,41244,36592
125194,43474,49840,43742,35332
125294,50858,58680,46782,42544
125394,41620,61800,45694,52262
125494,33454,65535,37104,46520
125594,50489,44013,39043,51783
125694,29525,53437,56689,29349
125794,57202,60116,52978,45480
125894,43477,46999,59077,50667
125994,45837,53691,52629,44279
126094,44871,45093,38237,39071
126194,35402,40910,45162,41594
126294,37829,42505,38899,33955
126394,44134,39820,34858,38772
126494,36455,45911,45403,35411
126594,47598,40660,39914,40736
126694,50554,50804,52430,46540
126794,49801,49757,51345,44381
126894,57337,46619,56683,42025
126994,52951,41909,56497,37703
127094,52184,42742,53182,33312
127194,55217,35215,44533,36715
127294,49147,44287,50133,31585
127394,46226,31870,40592,31984
127494,41517,42053,47213,26589
127594,49344,32230,41054,37400
127694,47372,47708,47854,28850
127794,53764,37360,51446,46706
127894,55748,48234,50948,37818
127994,47449,52047,52841,49727
128094,49496,51714,46008,48786
128194,44419,56201,54167,46985
128294,47345,50283,45729,45243
128394,43531,46767,45885,40745
128494,39331,39577,45419,32905
128594,47048,37436,37850,33874
128694,48160,46354,48550,34724
128794,46769,46459,47229,34091
128894,51123,47327,49121,39661
128994,48665,45655,46191,36957
129094,47121,41709,46871,40347
129194,44561,42987,44461,33559
129294,40232,42328,42516,30632
129394,39436,43826,47386,41848
129494,54943,51453,41875,43077
129594,45055,53043,52929,44021
129694,46593,49201,51229,47857
129794,44974,48926,45388,40756
129894,40702,42698,41366,37802
129994,45217,45247,45271,41857
130094,44738,48966,49778,42114
130194,39635,43455,42281,39385
130294,39007,50215,40429,44329
130394,30475,49569,34053,43951
130494,30084,49550,32236,45754
130594,29987,50011,31457,45425
130694,36076,50354,40754,47884
130794,41364,46758,44340,42122
130894,40703,53351,52805,45785
130994,42378,54246,46340,50516
131094,40103,57381,43953,48803
131194,39563,55103,45213,52305
131294,38644,47438,41108,43750
131394,41510,44382,47408,40192
131494,42845,45703,45879,39273
131594,43026,44978,44860,40944
131694,42019,46321,48583,42153
131794,39777,43731,44281,39027
131894,41567,45743,45083,40099
131994,38609,45425,41861,41673
132094,42705,53677,43131,50059
132194,36073,49203,43115,45217
132294,35583,49215,34629,45509
132394,30652,52144,32082,44774
132494,31072,52868,39178,51462
132594,40519,59025,37193,55083
132694,39077,56397,44477,55661
132794,50373,46261,52227,45775
132894,47852,46910,53414,42204
132994,48233,44675,49835,43489
133094,46086,45060,45468,39082
133194,35923,40397,43717,34711
133294,43345,35525,31349,35445
133394,39112,41456,40430,33542
133494,35267,39573,39455,33357
133594,36451,39369,39073,35647
133694,39368,47008,44982,37390
133794,40639,43483,44639,40863
133894,45584,49162,46550,41432
133994,46984,53500,51718,44670
134094,47509,53291,50695,46469
134194,47829,54567,51561,47299
134294,44701,57903,55197,43695
134394,45668,56066,51796,43442
134494,46436,50966,47306,43760
134594,41697,47335,46271,43873
134694,36553,52251,37057,48195
134794,31371,53349,33129,52243
134894,25997,55609,36753,47937
134994,30173,54635,37731,50429
135094,27342,51528,41288,50918
135194,37483,53065,39995,52001
135294,36001,51831,47131,51797
135394,42223,54439,46571,54559
135494,40121,54259,48927,50941
135594,38719,49111,53707,53135
135694,56298,48270,61552,46120
135794,46068,46394,65535,42958
135894,54231,45557,57421,45587
135994,45860,46946,56146,43400
136094,46400,51092,50878,38014
136194,42670,45602,44872,38240
136294,43036,49440,43840,37300
136394,45067,46961,42503,39085
136494,39586,45138,44788,38892
136594,43245,49053,44297,37457
136694,43467,48403,43475,36727
136794,39503,43713,45431,38901
136894,45187,49601,46903,41525
136994,45955,52081,49765,40623
137094,38261,52191,49963,43013
137194,40738,53098,38690,47334
137294,34567,55707,40711,44051
137394,32115,50337,41577,47311
137494,35810,53180,43064,46042
137594,35783,50227,45033,49853
137694,36099,52315,45901,47741
137794,40140,50642,46322,49876
137894,35148,52450,49998,48128
137994,42730,53448,46660,49246
138094,36524,54526,46990,51040
138194,38457,56027,46213,49259
138294,39278,54960,47846,51340
138394,40363,53373,46401,50923
