time,stabilizer.thrust,
193821,35304.0,
193921,27300.0,
194021,20690.0,
194121,31527.0,
194221,18115.0,
194321,60864.0,
194421,5623.0,
194521,32552.0,
194621,31939.0,
194721,29781.0,
194821,17351.0,
194921,65467.0,
195021,35865.0,
195121,34671.0,
195221,64088.0,
195321,21680.0,
195421,1677.0,
195521,10057.0,
195621,36078.0,
195721,47068.0,
195821,14949.0,
195921,30237.0,
196021,6620.0,
196121,24933.0,
196221,35921.0,
196321,22643.0,
196421,63085.0,
196521,17539.0,
196621,15459.0,
196721,34240.0,
196821,47331.0,
196921,21869.0,
197021,41549.0,
197121,36771.0,
197221,11861.0,
197321,19611.0,
197421,7966.0,
197521,26414.0,
197621,25731.0,
197721,20874.0,
197821,56182.0,
197921,25967.0,
198021,14252.0,
198121,61663.0,
198221,32989.0,
198321,1654.0,
198421,46274.0,
198521,1127.0,
198621,3048.0,
198721,24988.0,
198821,14269.0,
198921,26445.0,
199021,59624.0,
199121,17799.0,
199221,31083.0,
199321,16011.0,
199421,13317.0,
199521,8372.0,
199621,42156.0,
199721,10395.0,
199821,64185.0,
199921,15498.0,
200021,40906.0,
200121,31741.0,
200221,63666.0,
200321,48556.0,
200421,59151.0,
200521,7057.0,
200621,3260.0,
200721,45520.0,
200821,8510.0,
200921,29999.0,
201021,61226.0,
201121,29794.0,
201221,31610.0,
201321,62651.0,
201421,1709.0,
201521,1222.0,
201621,30040.0,
201721,53106.0,
201821,53890.0,
201921,29178.0,
202021,24534.0,
202121,12001.0,
202221,25135.0,
202321,61143.0,
202421,35484.0,
202521,62664.0,
202621,14841.0,
202721,59399.0,
202821,32204.0,
202921,5855.0,
203021,15057.0,
203121,65316.0,
203221,35244.0,
203321,14251.0,
203421,24021.0,
203521,58696.0,
203621,34049.0,
203721,61368.0,
203821,16718.0,
203921,32359.0,
204021,62455.0,
204121,18380.0,
204221,31176.0,
204321,20984.0,
204421,64049.0,
204521,25702.0,
204621,64962.0,
204721,15114.0,
204821,37354.0,
204921,42284.0,
205021,19769.0,
205121,26526.0,
205221,53121.0,
205321,45719.0,
205421,46958.0,
205521,5309.0,
205621,1232.0,
205721,25502.0,
205821,43665.0,
205921,40823.0,
206021,62726.0,
206121,5706.0,
206221,13626.0,
206321,8058.0,
206421,41867.0,
206521,14192.0,
206621,400.0,
206721,38748.0,
206821,24024.0,
206921,931.0,
207021,35307.0,
207121,32503.0,
207221,15708.0,
207321,55094.0,
207421,18377.0,
207521,41319.0,
207621,2685.0,
207721,33655.0,
207821,42088.0,
207921,14087.0,
208021,40891.0,
208121,57815.0,
208221,62122.0,
208321,26291.0,
208421,8672.0,
208521,27151.0,
208621,28572.0,
208721,35515.0,
208821,5941.0,
208921,3359.0,
209021,61841.0,
209121,64084.0,
209221,29340.0,
209321,4462.0,
209421,46164.0,
209521,27849.0,
209621,38157.0,
209721,1486.0,
209821,17605.0,
209921,27954.0,
210021,7166.0,
210121,24092.0,
210221,13223.0,
210321,11478.0,
210421,23986.0,
210521,8407.0,
210621,47698.0,
210721,38026.0,
210821,54078.0,
210921,8858.0,
211021,57441.0,
211121,26103.0,
211221,3387.0,
211321,50410.0,
211421,18667.0,
211521,19857.0,
211621,11149.0,
211721,58166.0,
211821,9403.0,
211921,47571.0,
212021,59479.0,
212121,23626.0,
212221,54135.0,
212321,45126.0,
212421,28378.0,
212521,28886.0,
212621,20572.0,
212721,59770.0,
212821,21935.0,
212921,26588.0,
213021,34081.0,
213121,28585.0,
213221,49609.0,
213321,7538.0,
213421,45842.0,
213521,16437.0,
213621,53575.0,
213721,12964.0,
213821,39670.0,
213921,18545.0,
214021,60484.0,
214121,49457.0,
214221,36769.0,
214321,60930.0,
214421,53600.0,
214521,25910.0,
214621,53760.0,
214721,33909.0,
214821,30796.0,
214921,35804.0,
215021,7621.0,
215121,42895.0,
215221,30794.0,
215321,11981.0,
215421,51821.0,
215521,46110.0,
215621,16199.0,
215721,34218.0,
215821,47716.0,
215921,33049.0,
216021,41759.0,
216121,2879.0,
216221,5925.0,
216321,51296.0,
216421,31024.0,
216521,17464.0,
216621,65504.0,
216721,48432.0,
216821,12106.0,
216921,65508.0,
217021,59984.0,
217121,57218.0,
217221,65014.0,
217321,44992.0,
217421,44906.0,
217521,17224.0,
217621,20915.0,
217721,25260.0,
217821,53924.0,
217921,51789.0,
218021,38703.0,
218121,23371.0,
218221,20174.0,
218321,10523.0,
218421,48112.0,
218521,21412.0,
218621,19013.0,
218721,47963.0,
218821,58516.0,
218921,26965.0,
219021,41764.0,
219121,40262.0,
219221,63699.0,
219321,63624.0,
219421,42419.0,
219521,54470.0,
219621,28647.0,
219721,49739.0,
219821,3001.0,
219921,23482.0,
220021,3792.0,
220121,31913.0,
220221,33903.0,
220321,10455.0,
220421,52183.0,
220521,50317.0,
220621,29666.0,
220721,16344.0,
220821,26326.0,
220921,25770.0,
221021,37529.0,
221121,54004.0,
221221,64388.0,
221321,31913.0,
221421,41606.0,
221521,692.0,
221621,7286.0,
221721,39864.0,
221821,64406.0,
221921,61836.0,
222021,36296.0,
222121,30839.0,
222221,57628.0,
222321,42127.0,
222421,45132.0,
222521,61364.0,
222621,60329.0,
222721,64480.0,
222821,58852.0,
222921,7544.0,
223021,10498.0,
223121,14232.0,
223221,56077.0,
223321,38061.0,
223421,51325.0,
223521,33799.0,
223621,64680.0,
223721,14319.0,
223821,27045.0,
223921,52463.0,
224021,53145.0,
224121,2169.0,
224221,25335.0,
224321,44239.0,
224421,14488.0,
224521,3915.0,
224621,38952.0,
224721,5350.0,
224821,48688.0,
224921,8576.0,
225021,26791.0,
225121,16605.0,
225221,64931.0,
225321,18234.0,
225421,8219.0,
225521,48464.0,
225621,60060.0,
225721,26437.0,
225821,25762.0,
225921,28143.0,
226021,48811.0,
226121,37030.0,
226221,56355.0,
226321,42252.0,
226421,13022.0,
226521,31292.0,
226621,30108.0,
226721,53110.0,
226821,41814.0,
226921,868.0,
227021,3480.0,
227121,53682.0,
227221,42862.0,
227321,18875.0,
227421,40530.0,
227521,42490.0,
227621,38897.0,
227721,62889.0,
227821,51110.0,
227921,41125.0,
228021,40963.0,
228121,26654.0,
228221,44300.0,
228321,53406.0,
228421,52325.0,
228521,61236.0,
228621,33751.0,
228721,51901.0,
228821,41527.0,
228921,2481.0,
229021,7014.0,
229121,50971.0,
229221,20119.0,
229321,57517.0,
229421,52315.0,
229521,17081.0,
229621,8011.0,
229721,36204.0,
229821,19500.0,
229921,2547.0,
230021,12820.0,
230121,19016.0,
230221,1354.0,
230321,18288.0,
230421,59673.0,
230521,48259.0,
230621,47650.0,
230721,23391.0,
230821,34657.0,
230921,30902.0,
231021,53819.0,
231121,8055.0,
231221,64575.0,
231321,38402.0,
231421,5342.0,
231521,34753.0,
231621,6802.0,
231721,21381.0,
231821,46705.0,
231921,3942.0,
232021,26399.0,
232121,3946.0,
232221,62094.0,
232321,1159.0,
232421,65360.0,
232521,16707.0,
232621,21675.0,
232721,61178.0,
232821,8660.0,
232921,1379.0,
233021,39876.0,
233121,24132.0,
233221,23112.0,
233321,14557.0,
233421,44027.0,
233521,54209.0,
233621,232.0,
233721,20022.0,
233821,17169.0,
233921,60155.0,
234021,8844.0,
234121,49588.0,
234221,39844.0,
234321,64901.0,
234421,10380.0,
234521,64184.0,
234621,7516.0,
234721,55454.0,
234821,50468.0,
234921,29669.0,
235021,46523.0,
235121,48592.0,
235221,23430.0,
235321,9988.0,
235421,32924.0,
235521,44214.0,
235621,47764.0,
235721,18369.0,
235821,27546.0,
235921,8842.0,
236021,21360.0,
236121,8506.0,
236221,31454.0,
236321,11646.0,
236421,59444.0,
236521,53826.0,
236621,50743.0,
236721,64487.0,
236821,62333.0,
236921,32205.0,
237021,33351.0,
237121,22129.0,
237221,35449.0,
237321,50355.0,
237421,31774.0,
237521,59775.0,
237621,60187.0,
237721,13111.0,
237821,15128.0,
237921,16847.0,
238021,61602.0,
238121,57466.0,
238221,52803.0,
238321,6277.0,
238421,12965.0,
238521,11859.0,
238621,37953.0,
238721,40530.0,
238821,36263.0,
238921,38338.0,
239021,51770.0,
239121,29027.0,
239221,59121.0,
239321,99.0,
239421,7604.0,
239521,33050.0,
239621,60223.0,
239721,58946.0,
239821,4198.0,
239921,5961.0,
240021,24724.0,
240121,51246.0,
240221,873.0,
240321,38119.0,
240421,1490.0,
240521,1621.0,
240621,53607.0,
240721,51771.0,
240821,37603.0,
240921,39298.0,
241021,51548.0,
241121,56979.0,
241221,33277.0,
241321,28877.0,
241421,43157.0,
241521,64328.0,
241621,14625.0,
241721,55257.0,
241821,15200.0,
241921,58437.0,
242021,7550.0,
242121,42211.0,
242221,10383.0,
242321,61278.0,
242421,20697.0,
242521,41651.0,
242621,30574.0,
242721,11371.0,
242821,59411.0,
242921,1681.0,
243021,7770.0,
243121,1623.0,
243221,41665.0,
243321,56101.0,
243421,37160.0,
243521,38303.0,
243621,12890.0,
243721,622.0,
243821,52819.0,
243921,231.0,
244021,17456.0,
244121,61609.0,
244221,13773.0,
244321,56350.0,
244421,34129.0,
244521,62503.0,
244621,64099.0,
244721,21099.0,
244821,46059.0,
244921,21002.0,
245021,9858.0,
245121,53423.0,
245221,42928.0,
245321,12427.0,
245421,53312.0,
245521,25507.0,
245621,7650.0,
245721,7685.0,
245821,21584.0,
245921,24231.0,
246021,28738.0,
246121,21786.0,
246221,2724.0,
246321,2033.0,
246421,3811.0,
246521,18371.0,
246621,13805.0,
246721,45183.0,
246821,64971.0,
246921,827.0,
247021,65285.0,
247121,53003.0,
247221,62168.0,
247321,18440.0,
247421,39239.0,
247521,31090.0,
247621,17048.0,
247721,30218.0,
247821,19907.0,
247921,47551.0,
248021,47644.0,
248121,26865.0,
248221,59611.0,
248321,60371.0,
248421,3623.0,
248521,26552.0,
248621,26592.0,
248721,47427.0,
248821,25891.0,
248921,59707.0,
249021,10168.0,
249121,58265.0,
249221,40214.0,
249321,14246.0,
249421,10756.0,
249521,14911.0,
249621,33689.0,
249721,41782.0,
249821,24905.0,
249921,55350.0,
250021,30340.0,
250121,9350.0,
250221,21756.0,
250321,33086.0,
250421,5631.0,
250521,34765.0,
250621,58525.0,
250721,17304.0,
250821,12442.0,
250921,32863.0,
251021,11853.0,
251121,8395.0,
251221,35174.0,
251321,13525.0,
251421,61525.0,
251521,39223.0,
251621,42921.0,
251721,61506.0,
251821,7306.0,
